code,contestId,name,partyId,ballotNo,status
KMT-TTT-COUNCIL-12-91F142E2,TTT-COUNCIL-12,邱文俊,KMT,,REGISTERED
KMT-TTT-COUNCIL-13-E83A4BA9,TTT-COUNCIL-13,胡金至,KMT,,REGISTERED
KMT-TTT-COUNCIL-14-91474B40,TTT-COUNCIL-14,確定提名,KMT,,REGISTERED
KMT-KEE-COUNCIL-1-371893D1,KEE-COUNCIL-1,呂美玲,KMT,,REGISTERED
KMT-KEE-COUNCIL-1-B07F7DEE,KEE-COUNCIL-1,藍敏煌,KMT,,REGISTERED
KMT-KEE-COUNCIL-1-CD9107D3,KEE-COUNCIL-1,林孟泓,KMT,,REGISTERED
KMT-KEE-COUNCIL-2-F9E6E75E,KEE-COUNCIL-2,何淑萍,KMT,,REGISTERED
KMT-KEE-COUNCIL-2-CD6D13C5,KEE-COUNCIL-2,韓世昱,KMT,,REGISTERED
KMT-KEE-COUNCIL-3-94FCD64A,KEE-COUNCIL-3,曾維祥,KMT,,REGISTERED
KMT-KEE-COUNCIL-4-CD9520B5,KEE-COUNCIL-4,宋瑋莉,KMT,,REGISTERED
KMT-KEE-COUNCIL-4-1EC7E161,KEE-COUNCIL-4,郭美秀,KMT,,REGISTERED
KMT-KEE-COUNCIL-4-D7ADDEFC,KEE-COUNCIL-4,林佑德,KMT,,REGISTERED
KMT-KEE-COUNCIL-5-10AED0B0,KEE-COUNCIL-5,秦鉦,KMT,,REGISTERED
KMT-KEE-COUNCIL-5-59C98146,KEE-COUNCIL-5,俞叄發,KMT,,REGISTERED
KMT-KEE-COUNCIL-5-412F1891,KEE-COUNCIL-5,鄭愷玲,KMT,,REGISTERED
KMT-KEE-COUNCIL-5-698B22B9,KEE-COUNCIL-5,張家馨,KMT,,REGISTERED
KMT-KEE-COUNCIL-6-25167D09,KEE-COUNCIL-6,連恩典,KMT,,REGISTERED
KMT-KEE-COUNCIL-7-3C6E127D,KEE-COUNCIL-7,蔡旺璉,KMT,,REGISTERED
KMT-HSZ-COUNCIL-1-DE6DFB69,HSZ-COUNCIL-1,鍾淑英,KMT,,REGISTERED
KMT-HSZ-COUNCIL-1-394C3F04,HSZ-COUNCIL-1,張祖琰,KMT,,REGISTERED
KMT-HSZ-COUNCIL-1-0C41EFB7,HSZ-COUNCIL-1,黃婉嫣,KMT,,REGISTERED
KMT-HSZ-COUNCIL-1-76656731,HSZ-COUNCIL-1,張文興,KMT,,REGISTERED
KMT-HSZ-COUNCIL-1-36BB858D,HSZ-COUNCIL-1,陳清智,KMT,,REGISTERED
KMT-HSZ-COUNCIL-1-D3F15BCF,HSZ-COUNCIL-1,黃文政,KMT,,REGISTERED
KMT-HSZ-COUNCIL-2-55D20589,HSZ-COUNCIL-2,許修睿,KMT,,REGISTERED
KMT-HSZ-COUNCIL-2-D03222E3,HSZ-COUNCIL-2,徐美惠,KMT,,REGISTERED
KMT-HSZ-COUNCIL-3-0A59455E,HSZ-COUNCIL-3,陳思妤,KMT,,REGISTERED
KMT-HSZ-COUNCIL-4-6D972F9B,HSZ-COUNCIL-4,蕭志潔,KMT,,REGISTERED
KMT-HSZ-COUNCIL-4-2E002831,HSZ-COUNCIL-4,黃美慧,KMT,,REGISTERED
KMT-HSZ-COUNCIL-4-1E59D5E6,HSZ-COUNCIL-4,吳旭豐,KMT,,REGISTERED
KMT-HSZ-COUNCIL-4-A4FBB030,HSZ-COUNCIL-4,王雲慶,KMT,,REGISTERED
KMT-HSZ-COUNCIL-5-6223C4AB,HSZ-COUNCIL-5,陳慶齡,KMT,,REGISTERED
KMT-HSZ-COUNCIL-5-FBE60707,HSZ-COUNCIL-5,吳若茵,KMT,,REGISTERED
KMT-HSZ-COUNCIL-6-80926DC3,HSZ-COUNCIL-6,李雅雯,KMT,,REGISTERED
KMT-HSZ-COUNCIL-6-3A1D95C8,HSZ-COUNCIL-6,林慈愛,KMT,,REGISTERED
KMT-HSZ-COUNCIL-7-A341FEC9,HSZ-COUNCIL-7,林夏陞,KMT,,REGISTERED
KMT-CYI-COUNCIL-1-BEC909E1,CYI-COUNCIL-1,張敏琪,KMT,,REGISTERED
KMT-CYI-COUNCIL-1-8AB99844,CYI-COUNCIL-1,傅大偉,KMT,,REGISTERED
KMT-CYI-COUNCIL-1-BE99CFA4,CYI-COUNCIL-1,陳家平,KMT,,REGISTERED
KMT-CYI-COUNCIL-1-EF7B3E51,CYI-COUNCIL-1,郭定緯,KMT,,REGISTERED
KMT-CYI-COUNCIL-1-8D8CDC4E,CYI-COUNCIL-1,梁樹綸,KMT,,REGISTERED
KMT-CYI-COUNCIL-2-B1A87473,CYI-COUNCIL-2,張秀華,KMT,,REGISTERED
KMT-CYI-COUNCIL-2-EE879CB9,CYI-COUNCIL-2,鄭光宏,KMT,,REGISTERED
KMT-CYI-COUNCIL-2-043DE340,CYI-COUNCIL-2,黃思婷,KMT,,REGISTERED
KMT-KIN-COUNCIL-1-D0D1BF23,KIN-COUNCIL-1,洪允典,KMT,,REGISTERED
KMT-KIN-COUNCIL-1-F4EC2069,KIN-COUNCIL-1,董家瑋,KMT,,REGISTERED
KMT-KIN-COUNCIL-1-5DB82F72,KIN-COUNCIL-1,倪于媃,KMT,,REGISTERED
KMT-KIN-COUNCIL-1-947992FA,KIN-COUNCIL-1,陳子芸,KMT,,REGISTERED
KMT-KIN-COUNCIL-2-2D8A7BE2,KIN-COUNCIL-2,周子傑,KMT,,REGISTERED
