contest_id,jurisdiction,party,name_zh,name_en,file,licence,attribution,source_url,status
vill-67000360007-VILLAGE,臺南市,TPP,吳森源,,TPP-vill-67000360007-VILLAGE-0DDB4394.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_238.png,已裁切為 avatar
TPE-COUNCIL-1,臺北市,KMT,汪志冰,,KMT-TPE-COUNCIL-1-9B2BC95B.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-1,臺北市,KMT,張斯綱,,KMT-TPE-COUNCIL-1-B1C96BC4.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-1,臺北市,KMT,林杏兒,,KMT-TPE-COUNCIL-1-4EA65B1F.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-2,臺北市,KMT,吳世正,,KMT-TPE-COUNCIL-2-AE1121A3.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-2,臺北市,KMT,闕枚莎,,KMT-TPE-COUNCIL-2-89D6EE74.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-2,臺北市,KMT,游淑慧,,KMT-TPE-COUNCIL-2-F1900C10.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-2,臺北市,KMT,李明賢,,KMT-TPE-COUNCIL-2-569C96FA.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-3,臺北市,KMT,秦慧珠,,KMT-TPE-COUNCIL-3-0023795F.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-3,臺北市,KMT,戴錫欽,,KMT-TPE-COUNCIL-3-32176871.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-3,臺北市,KMT,詹為元,,KMT-TPE-COUNCIL-3-CD9EB0FC.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-4,臺北市,KMT,葉林傳,,KMT-TPE-COUNCIL-4-EF4E1A08.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-4,臺北市,KMT,陳炳甫,,KMT-TPE-COUNCIL-4-32D1594B.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-4,臺北市,KMT,柳采葳,,KMT-TPE-COUNCIL-4-01CA0FA4.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-5,臺北市,KMT,吳志剛,,KMT-TPE-COUNCIL-5-9275E9DE.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-5,臺北市,KMT,鍾小平,,KMT-TPE-COUNCIL-5-5EE12970.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-5,臺北市,KMT,郭昭巖,,KMT-TPE-COUNCIL-5-2BC11363.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,陳錦祥,,KMT-TPE-COUNCIL-6-4DB3BBA2.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,王欣儀,,KMT-TPE-COUNCIL-6-52D5AC8F.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,徐弘庭,,KMT-TPE-COUNCIL-6-18D537F4.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,鍾沛君,,KMT-TPE-COUNCIL-6-BDBC6E46.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,耿葳,,KMT-TPE-COUNCIL-6-B9661A2E.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,李柏毅,,KMT-TPE-COUNCIL-6-3C5BE409.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
TPE-COUNCIL-6,臺北市,KMT,楊植斗,,KMT-TPE-COUNCIL-6-F350CB01.webp,政府著作 (CC-BY 4.0 TW),臺北市議會,https://www.tcc.gov.tw/cp.aspx?n=13898,本次新增
